id,reference_id,country,product_code,product_name,subscription_start_date,subscription_deactivation_date,subscription_duration_months,order_date_kyiv,return_date_kyiv,last_rebill_date_kyiv,has_chargeback,has_refund,sales_agent_name,source,campaign_name,total_amount,discount_amount,number_of_rebills,original_amount,returned_amount,total_rebill_amount,created_at
1,GYB220101-1800-81123,AU,aq-one-time-pc-support,Support One Time PC Support,,,0.0,2022-01-01,,,False,False,Esmee,Call,AQ_7,119.19,29.8,,148.99,,,2026-02-07 00:00:00
2,GYB220101-1800-27157,US,aq-gyb-support-3-month-plan-lo,Support 3-month Plan,2022-01-01,2022-10-08,1.0,,,2022-09-01,False,False,Nick,Chat,AQ_9,149.25,49.75,6,199.0,,119.7,2026-02-07 00:00:00
3,GYB220102-5490-53112,US,aq-gyb-support-single-monthly,Support Single Device Monthly Subscription,2022-01-02,2022-02-02,1.0,,,,False,False,Clary,Chat,AQ_9,99.0,0.0,,99.0,,,2026-02-07 00:00:00
4,GYB220102-5490-23160,US,aq-gyb-support-36-month-plan-hi,Support 36-month Plan,2022-01-02,,36.0,,2022-01-04,,False,True,Jackie,Call,AQ_9,684.0,0.0,,684.0,634.0,,2026-02-07 00:00:00
5,GYB220103-4319-34119,US,gyb-support-24-month-plan-hi,Support 24-month Plan,2022-01-03,,24.0,,,,False,False,Jackie,Call,BF.Upgrade,489.6,86.4,,576.0,,,2026-02-07 00:00:00
6,GYB220103-6977-97158,CA,aq-one-time-pc-support,Support One Time PC Support,,,0.0,2022-01-04,,,False,False,Jackie,Call,AQ_1,119.74,29.94,,149.68,,,2026-02-07 00:00:00
7,GYB220104-5490-77123,US,aq-gyb-support-36-month-plan-hi,Support 36-month Plan,2022-01-04,2025-01-04,36.0,,,,False,False,Megan,Chat,AQ_9,684.0,0.0,,684.0,,,2026-02-07 00:00:00
8,GYB220104-8715-72118,US,aq-gyb-support-12-month-plan-hi,Support 12-month Plan,2022-01-04,2023-01-11,1.0,,,,False,False,Vicky,Call,AQ_9,345.6,86.4,,432.0,,,2026-02-07 00:00:00
9,GYB220104-4319-32105,US,aq-one-time-pc-support,Support One Time PC Support,,,0.0,,,,False,False,Megan,Chat,AQ_9,149.0,0.0,,149.0,,,2026-02-07 00:00:00
10,GYB220104-2435-91122,CA,aq-one-time-pc-support,Support One Time PC Support,,,0.0,,,,False,False,Vicky,Call,AQ_3,148.86,0.0,,148.86,,,2026-02-07 00:00:00
11,GYB220104-2435-90148,US,gyb-support-24-month-plan-hi,Support 24-month Plan,2022-01-04,2024-06-02,24.0,2022-01-05,,,False,False,Esmee,Call,ByteFence.CTA,576.0,0.0,,576.0,,,2026-02-07 00:00:00
12,GYB220105-5490-83111,US,aq-one-time-pc-support,Support One Time PC Support,,,0.0,2022-01-05,,,False,False,Jackie,Call,AQ_9,126.65,22.35,,149.0,,,2026-02-07 00:00:00
13,GYB220105-4319-74113,CA,aq-one-time-pc-support,Support One Time PC Support,,,0.0,2022-01-06,,,False,False,Esmee,Call,AQ_1,97.11,52.29,,149.4,,,2026-02-07 00:00:00
14,GYB220106-2435-53108,US,aq-one-time-pc-support,Support One Time PC Support,,,0.0,2022-01-06,,,False,False,,,,96.85,52.15,,149.0,,,2026-02-07 00:00:00
15,GYB220106-5490-48130,US,aq-gyb-support-single-monthly,Support Single Device Monthly Subscription,2022-01-06,2022-02-06,1.0,,,,False,False,Esmee,Call,AQ_9,79.2,19.8,,99.0,,,2026-02-07 00:00:00
16,GYB220106-2435-63145,US,aq-gyb-support-12-month-plan-hi,Support 12-month Plan,2022-01-06,2022-01-13,12.0,,,,True,False,Esmee,Call,AQ_9,432.0,0.0,,432.0,432.0,,2026-02-07 00:00:00
17,GYB220106-1800-64131,US,aq-gyb-support-single-monthly,Support Single Device Monthly Subscription,2022-01-06,2022-02-06,1.0,,,,False,False,Esmee,Call,AQ_25,99.0,0.0,,99.0,,,2026-02-07 00:00:00
18,GYB220106-8715-51112,CA,aq-one-time-pc-support,Support One Time PC Support,,,0.0,,,,False,False,Jacob,Call,AQ_1,149.45,0.0,,149.45,,,2026-02-07 00:00:00
19,GYB220107-6911-85132,US,aq-gyb-support-12-month-plan-hi,Support 12-month Plan,2022-01-07,,1.0,2022-01-07,,2023-10-07,False,False,Biby,Chat,AQ_9,432.0,0.0,10,432.0,,199.5,2026-02-07 00:00:00
20,GYB220107-6604-87123,US,aq-gyb-support-6-month-plan-lo,Support 6-month Plan,2022-01-07,2022-06-07,6.0,,,,False,False,Rodger,Call,AQ.Upgrade,174.3,74.7,,249.0,,,2026-02-07 00:00:00
21,GYB220107-1511-41116,CA,aq-gyb-support-36-month-plan-hi,Support 36-month Plan,2022-01-07,,36.0,,,,False,False,Jayce,Call,AQ_9,683.68,0.0,,683.68,,,2026-02-07 00:00:00
22,GYB220108-5542-65141,CA,aq-gyb-support-12-month-plan-hi,Support 12-month Plan,2022-01-08,2022-01-29,12.0,,,,True,False,Rodger,Call,AQ_1,302.37,129.59,,431.96,281.07,,2026-02-07 00:00:00
23,GYB220108-6911-25129,GB,aq-one-time-pc-support,Support One Time PC Support,,,0.0,,,,False,False,Clary,Chat,AQ_9,149.41,0.0,,149.41,,,2026-02-07 00:00:00
24,GYB220108-6911-44171,US,aq-gyb-support-single-monthly,Support Single Device Monthly Subscription,2022-01-08,2022-02-08,1.0,,,,False,False,Jackie,Call,AQ_25,49.5,49.5,,99.0,,,2026-02-07 00:00:00
25,GYB220108-4354-86171,CA,aq-gyb-support-12-month-plan-hi,Support 12-month Plan,2022-01-08,,1.0,2022-01-09,,2023-10-08,False,False,Rodger,Call,AQ_1,345.57,86.39,10,431.96,,192.95,2026-02-07 00:00:00
